noise_sigma,run_iterations,epoch,rmse_km_s,ssim,velocity_objective,waveform_cost,result_dir
0,100,9,0.4435687472924825,0.5082493429635212,0.0983766167873111,0.0025845111813396215,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,10,0.42844456562269123,0.5185972671790876,0.09178237290580828,0.0022223275154829025,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,11,0.41578012360361405,0.5264552915719548,0.08643655559191829,0.0019792995881289244,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,12,0.40254934565404327,0.5343556251103627,0.0810229878432492,0.001808956265449524,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,13,0.3882453382072144,0.5411556077089491,0.07536722131981714,0.0016351233934983611,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,14,0.3729811738421419,0.5476660546876813,0.06955747802033103,0.0014894873602315784,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,15,0.3574883958512309,0.5532912110913917,0.06389897658414317,0.0013152128085494041,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,16,0.34194899220055125,0.5598114992018159,0.058464556633486334,0.001125701004639268,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,17,0.3276050694070907,0.5684967316392682,0.053662540750612366,0.0009432115475647151,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,18,0.3154125943993464,0.5781555058348503,0.0497425523528633,0.000775109336245805,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,19,0.30586257632275454,0.5866634001666562,0.04677595779739642,0.0006725519197061658,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,20,0.29824122137549125,0.5941428132852619,0.04447391306377239,0.0005749397096224129,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,21,0.2922454283720539,0.6005953719937295,0.04270369520218265,0.000518736254889518,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,22,0.2869836398130757,0.6064039659090369,0.04117980476018057,0.0004473234002944082,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,23,0.2821717352903215,0.6112930021791865,0.03981044409837565,0.00040133841685019433,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,24,0.2768119987281622,0.616673131071954,0.03831244131994003,0.0003464460896793753,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,25,0.27117529388196493,0.621000241160061,0.036768020005985017,0.0003045968187507242,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,26,0.2650075935612533,0.6259561118085292,0.03511451232256321,0.00027507750201039016,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,27,0.25923801059746665,0.6298212287083701,0.03360217306926611,0.00029242338496260345,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,28,0.2536371463290109,0.634866744203655,0.03216590099896205,0.00025900971377268434,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,29,0.24863971646213576,0.6383384195822382,0.030910854301185633,0.0002354610915062949,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,30,0.2439404861499375,0.6413937966980945,0.029753480391533926,0.00022167777933645993,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,31,0.23990799403616037,0.643664674204235,0.02877792280122718,0.00019262147543486208,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,32,0.23640234062135815,0.6463659310166491,0.027943033325628322,0.00018201563216280192,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,33,0.23338591346862386,0.649147108564179,0.027234492302791995,0.00015959437587298453,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,34,0.23095393349236162,0.65177934359168,0.026669859697797095,0.00016233189671766013,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,35,0.22902280519010837,0.6545767323034247,0.026225722648573164,0.0001341128081548959,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,36,0.22750829476317216,0.6573503082777044,0.02588001209302322,0.00014638582069892436,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,37,0.2260351283105075,0.6605846117133793,0.025545939615173797,0.00012725606211461127,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,38,0.2245011538548008,0.6636442747771144,0.025200384041068467,0.00013210128236096352,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,39,0.22274972812114313,0.666155697818189,0.02480872068902159,0.00012122801126679406,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,40,0.2210737550758722,0.6682180466417161,0.024436802591673364,0.00012218815390951931,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,41,0.2193807857206207,0.6707018434114747,0.02406396457169845,0.00010099321661982685,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,42,0.21763777284526978,0.6728455110675732,0.023683100084524625,0.00010433495481265709,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,43,0.21552690162014518,0.6755446781058659,0.02322592266098987,9.498357394477352e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,44,0.2135875386512572,0.6779208422013909,0.022809818333551144,8.056213846430182e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,45,0.2120045466079111,0.6806647068446887,0.022472963891212977,8.045037975534797e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,46,0.2106937780633439,0.6824131005147681,0.02219593405730281,7.072783046169207e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,47,0.20937959620674546,0.684433377206459,0.021919907653849886,7.656399975530803e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,48,0.20824252525536494,0.6860563285462319,0.02168247466236565,5.688346209353767e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,49,0.2071789273118373,0.6877341678730003,0.02146155396104178,8.613546378910542e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,50,0.20600743644663272,0.6895630637726975,0.02121953193565671,4.9259095248999074e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,51,0.20481207921145125,0.6914516701578124,0.02097399389545889,0.00010120952356373891,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,52,0.20346429886912581,0.6933884461200602,0.020698860457152475,7.944882236188278e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
0,100,53,0.20255349336876322,0.6942350361874601,0.020513958837944803,8.382700616493821e-05,comparison/Accelerating_FWI_By_Transfer_Learning/results/20260611_175728_salt_tlfwi_alpha-none_noise-0_box-unclipped
